VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
1,2024-01-03 00:50:00,2024-01-03 00:53:00,1,5.71,3,Y,71,136,no_charge,13.95,0.0,0.5,2.79,6.12,0.3,23.66,0.0,0.0
1,2024-01-16 05:46:00,2024-01-16 06:03:00,2,5.2,6,Y,167,175,voided,16.02,1.0,0.5,0.0,6.12,0.3,23.94,0.0,0.0
2,2024-01-16 02:48:00,2024-01-16 03:18:00,4,16.83,1,N,210,170,dispute,39.79,2.5,0.5,0.0,6.12,0.3,49.21,0.0,0.0
2,2024-01-28 10:46:00,2024-01-28 11:40:00,1,15.84,2,Y,200,90,voided,35.01,0.0,0.5,6.3,0.0,0.3,44.61,2.5,0.0
1,2024-01-24 10:19:00,2024-01-24 11:14:00,4,1.94,1,N,260,219,dispute,8.4,0.0,0.5,1.68,0.0,0.3,13.38,2.5,0.0
1,2024-01-22 06:30:00,2024-01-22 07:20:00,3,6.31,5,N,174,224,voided,17.48,2.5,0.5,3.15,0.0,0.3,23.93,0.0,0.0
1,2024-01-20 06:04:00,2024-01-20 06:20:00,3,4.0,2,N,148,12,no_charge,14.47,0.0,0.5,2.6,6.12,0.3,26.49,2.5,0.0
1,2024-01-20 03:55:00,2024-01-20 04:24:00,3,13.87,6,N,85,13,unknown,32.63,1.0,0.5,6.53,0.0,0.3,40.96,0.0,0.0
1,2024-01-15 01:38:00,2024-01-15 02:03:00,4,10.52,1,N,138,183,no_charge,25.44,0.5,0.5,0.0,5.5,0.3,34.74,2.5,0.0
1,2024-01-29 07:12:00,2024-01-29 07:15:00,1,15.05,6,Y,22,89,unknown,35.48,0.0,0.5,5.32,6.12,0.3,51.47,2.5,1.25
2,2024-01-11 17:22:00,2024-01-11 17:46:00,1,6.47,1,Y,244,177,unknown,19.41,0.5,0.5,0.0,0.0,0.3,23.21,2.5,0.0
2,2024-01-10 05:00:00,2024-01-10 05:09:00,1,17.95,5,Y,104,40,no_charge,39.71,2.5,0.5,0.0,5.5,0.3,48.51,0.0,0.0
1,2024-01-05 01:39:00,2024-01-05 02:04:00,1,15.75,1,Y,226,109,credit,36.46,2.5,0.5,5.47,5.5,0.3,50.73,0.0,0.0
